Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000001	Programme de Pays 2011-2014 (CP 200119)	Programme of the Netherlands 2011-2014 (CP 200119)			Programme Alimentaire Mondial; Suisse; Multilateral Grant	Nations Unies; Suisse	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000002	Intervention prolongée	Intervention prolongée			Central Emergency Response Fund; ECHO; Japon; Suisse; United States Agency for International Development	Commission de l'Union Européenne; États Unis d'Amérique; Japon; Nations Unies; Suisse	Non spécifié	Non spécifié	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000003	Appui à la sécurité	Support for security			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000004	Programme de Développement du secteur de la Sécurité , Phase II (APD)	Development Program Security Sector, Phase II (ODA)			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000005	Programme de Développement du Secteur de la sécurité, PhaseI(APD)	Development Program Security Sector, PhaseI (ODA)			Pays Bas	Pays-Bas	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000006	Planning Familial (Vulnerables)	Planning Familial (Vulnerables)			United States Agency for International Development	États Unis d'Amérique	Nord	Kayanza; Muyinga	Non spécifié	Non	POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE	Planification familiale
BDI/000007	Strengthening Burundian sanitary and phyto-sanitary control systems	Strengthening Burundian sanitary and phyto-sanitary control systems			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Recherche agronomique
BDI/000009	New Generation	New Generation			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000010	Democracy and Human Rights Fund	Democracy and Human Rights Fund			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000011	Returnee Stabilization	Returnee Stabilization			United States Agency for International Development	États Unis d'Amérique	Sud	Rutana; Makamba	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Dispositifs civils de construction de la paix, et de prévention et de règlement des conflits
